| JD - 2457388(hr) |       Flux |     Flux Err | Airmass |
|       -2.4139274 | 0.99909766 | 0.0095024868 |    1.59 |
|       -2.3967685 | 0.99317195 | 0.0095526764 |   1.582 |
|       -2.3796119 |  1.0085228 | 0.0094991496 |   1.575 |
|       -2.3624283 | 0.99273901 | 0.0094982796 |   1.568 |
|       -2.3452542 |   1.002172 | 0.0094410752 |   1.561 |
|       -2.3280954 |  0.9933037 | 0.0092121348 |   1.555 |
|       -2.3108841 | 0.99582819 | 0.0093946608 |   1.548 |
|       -2.2937279 |  0.9962023 | 0.0094894108 |   1.541 |
|       -2.2765756 |  1.0044484 | 0.0093555484 |   1.535 |
|       -2.2594209 | 0.99082842 | 0.0094981824 |   1.528 |
|       -2.2422617 |  1.0033909 | 0.0092067928 |   1.522 |
|       -2.2251076 | 0.99820203 | 0.0090274912 |   1.516 |
|        -2.207954 | 0.99795419 | 0.0090955032 |    1.51 |
|       -2.1907916 | 0.99692704 | 0.0089753076 |   1.503 |
|       -2.1736349 | 0.99758802 | 0.0089738412 |   1.497 |
|       -2.1564684 |   0.996632 | 0.0090083908 |   1.492 |
|       -2.1393057 |  1.0030934 | 0.0091285952 |   1.486 |
|       -2.1221514 | 0.99312061 | 0.0089981396 |    1.48 |
|       -2.1049994 | 0.99969534 | 0.0088975984 |   1.474 |
|       -2.0878427 |  1.0058615 | 0.0091105732 |   1.469 |
|       -2.0706809 | 0.99660739 | 0.0089936792 |   1.463 |
|       -2.0535003 | 0.99941686 |  0.008980544 |   1.457 |
|       -2.0363209 | 0.99734745 | 0.0088980188 |   1.452 |
|       -2.0191896 | 0.99058147 | 0.0089070716 |   1.447 |
|       -2.0020402 |  1.0008738 | 0.0091662772 |   1.441 |
|       -1.9848875 |  1.0007784 | 0.0090250472 |   1.436 |
|       -1.9677348 |  1.0004192 | 0.0089767536 |   1.431 |
|       -1.9505772 |  1.0003202 | 0.0089983432 |   1.426 |
|       -1.9334253 | 0.99731255 | 0.0089413776 |   1.421 |
|       -1.9162731 | 0.99782949 | 0.0091736816 |   1.416 |
