| JD - 2457565 (hr) |       Flux |     Flux Err | Airmass |
|        -4.5079613 |  1.0003406 | 0.0075150532 |   1.416 |
|        -4.4866787 | 0.99646366 | 0.0074363996 |   1.408 |
|        -4.4653956 |  0.9915551 | 0.0074302476 |   1.401 |
|        -4.4441073 | 0.99532352 | 0.0074722492 |   1.394 |
|        -4.4228128 | 0.99458456 |  0.007443836 |   1.387 |
|        -4.4015156 | 0.99441324 | 0.0073076416 |    1.38 |
|        -4.3802279 |  1.0036567 | 0.0074228812 |   1.373 |
|        -4.3589434 | 0.98900044 | 0.0073710676 |   1.366 |
|        -4.3376587 |  0.9869956 | 0.0074209916 |    1.36 |
|        -4.3163706 | 0.99474891 | 0.0074703016 |   1.353 |
|        -4.2950823 | 0.99540042 | 0.0076576792 |   1.347 |
|        -4.2737971 |  1.0025854 |  0.007789186 |   1.341 |
|         -4.252515 |  1.0001808 | 0.0076670612 |   1.334 |
|        -4.2312308 | 0.98631603 | 0.0073077008 |   1.328 |
|        -4.2099406 | 0.99382577 | 0.0073192784 |   1.322 |
|        -4.1886509 | 0.99239226 | 0.0072324116 |   1.316 |
|        -4.1673621 | 0.99764641 | 0.0072363072 |    1.31 |
|        -4.1460789 |  1.0060937 |  0.007195926 |   1.305 |
|        -4.1247933 |  1.0016326 | 0.0071339372 |   1.299 |
|        -4.1035074 | 0.99988902 | 0.0071617528 |   1.293 |
|        -4.0822223 |   1.004818 |  0.007212628 |   1.288 |
|        -4.0609334 |  1.0106886 | 0.0071828132 |   1.282 |
|        -4.0396478 |  1.0067478 |  0.007170606 |   1.277 |
|          -4.01836 |  1.0054518 | 0.0072054604 |   1.272 |
|        -3.9970688 |  1.0073857 |  0.007166312 |   1.266 |
|        -3.9757763 |  1.0110981 |   0.00725593 |   1.261 |
|        -3.9544877 |  1.0126644 | 0.0071934724 |   1.256 |
|        -3.9332025 |  1.0083702 | 0.0071480168 |   1.251 |
|        -3.9119164 |  1.0130488 | 0.0071546932 |   1.246 |
|         -3.890629 |  1.0096548 | 0.0072808232 |   1.242 |
|        -3.8693396 |  1.0058912 | 0.0072875268 |   1.237 |
|        -3.8480549 |    1.00627 |  0.007428234 |   1.232 |
|        -3.8267708 |  1.0058064 | 0.0072540716 |   1.228 |
|        -3.8054845 |  1.0099462 | 0.0073270816 |   1.223 |
|        -3.7841999 |   1.012003 | 0.0072326456 |   1.219 |
|        -3.7629137 |  1.0075974 | 0.0072036088 |   1.214 |
|         -3.741633 |  1.0146701 | 0.0073065028 |    1.21 |
|        -3.7203483 |  1.0134057 |  0.007266676 |   1.206 |
|        -3.6990596 |  1.0156672 |  0.007312824 |   1.201 |
|        -3.6777688 |  1.0128988 | 0.0073226368 |   1.197 |
|        -3.6564842 |  1.0142056 | 0.0106728584 |   1.193 |
|        -3.6351994 |   1.011365 | 0.0072108092 |   1.189 |
|        -3.6139144 |  1.0081624 |  0.007097606 |   1.185 |
|        -3.5926299 |  1.0101676 |  0.007148218 |   1.181 |
|        -3.5713435 |  1.0084144 | 0.0071406836 |   1.177 |
|         -3.550055 |  1.0117901 | 0.0073051864 |   1.173 |
|         -3.528766 |  1.0070054 |  0.007256488 |    1.17 |
|         -3.507487 |  1.0141321 |  0.007389848 |   1.166 |
|        -3.4862004 |  1.0117473 | 0.0072744156 |   1.162 |
|        -3.4649138 |  1.0137989 | 0.0071760296 |   1.159 |
|        -3.4436293 |  1.0097661 | 0.0072877264 |   1.155 |
|        -3.4223535 |  1.0037395 | 0.0073216612 |   1.152 |
|        -3.4010635 |  1.0120222 | 0.0071726704 |   1.148 |
|        -3.3797848 |  1.0125963 | 0.0071699088 |   1.145 |
|        -3.3584981 |  1.0105415 | 0.0071474532 |   1.142 |
|        -3.3372108 |  1.0155327 |  0.007061746 |   1.139 |
|        -3.3159238 |  1.0178432 | 0.0070366992 |   1.135 |
|        -3.2946643 |  1.0116891 | 0.0070841508 |   1.132 |
|        -3.2733795 |  1.0115915 | 0.0071045632 |   1.129 |
|        -3.2520884 |  1.0074991 | 0.0070477996 |   1.126 |
|        -3.2307875 |  1.0080726 | 0.0071256052 |   1.123 |
|        -3.2095167 |  1.0095246 | 0.0072102036 |    1.12 |
|        -3.1882283 |  1.0088418 |  0.007153926 |   1.117 |
|        -3.1669402 |   1.004446 | 0.0071303952 |   1.114 |
|        -3.1456558 |  1.0042245 | 0.0070662672 |   1.111 |
|        -3.1243688 |  1.0087553 | 0.0070748216 |   1.109 |
|        -3.1030767 |  1.0101244 | 0.0071201576 |   1.106 |
|        -3.0817351 |  1.0110012 | 0.0071566984 |   1.103 |
|        -3.0604299 |  1.0100551 | 0.0071083372 |   1.101 |
|          -3.03914 |   1.010003 | 0.0071273244 |   1.098 |
|        -3.0178195 |  1.0087599 |  0.007213082 |   1.095 |
