#wavelength (micron)	Absolute Flux Density (erg / (cm2 micron s))	Uncertainty (erg / (cm2 micron s))
0.7003059983253479	2.1893989713642897e-13	9.035255725022007e-14
0.7024890184402466	6.195219033958144e-13	7.017103911821643e-13
0.704679012298584	7.609946201837803e-13	3.6554594529288054e-13
0.7068759799003601	4.2514657159348213e-13	2.590875647703883e-13
0.7090820074081421	6.825871790537563e-13	5.765850579105003e-13
0.7112969756126404	4.4818754827216645e-13	3.4766764120397475e-13
0.7135199904441833	6.922871022101151e-13	2.281904320448197e-13
0.715753972530365	6.279721209180578e-13	2.9491917263348155e-13
0.7179980278015137	4.801727049828786e-13	4.818611330260902e-13
0.7202519774436951	6.687021270913862e-13	1.8546571071455242e-13
0.7225180268287659	3.5014580210962487e-13	2.0763347096351692e-13
0.7247959971427917	6.446332183329684e-13	8.540954402058709e-14
0.7270849943161011	7.088843401170664e-13	2.838297359728653e-13
0.7293869853019714	9.055463627213878e-13	5.213227852879365e-13
0.7317020297050476	4.765496265830838e-13	9.048071672327143e-14
0.7340310215950012	7.647490496767717e-13	3.134494616988115e-13
0.7363730072975159	5.756969337009088e-13	2.9800516438208136e-13
0.7387290000915527	5.399233035489892e-13	4.017578370679731e-13
0.7410989999771118	6.125076574409194e-13	3.4068681578104665e-13
0.7434840202331543	4.349741053455425e-13	1.0318842677027595e-13
0.7458840012550354	6.736370901198885e-13	1.4591047825269349e-13
0.7483000159263611	4.852810861488699e-13	6.433409035534743e-14
0.7507309913635254	4.403526425878629e-13	6.474144544034097e-14
0.7531780004501343	4.601326372873082e-13	1.3016889270026782e-13
0.7556419968605042	4.2882816980553684e-13	1.7967662676709323e-13
0.7581220269203186	2.5555485462167016e-13	2.790228443259879e-13
0.7606179714202881	3.3800393040017696e-13	6.522377988182546e-14
0.7631319761276245	5.969101488046899e-14	2.0559511666913555e-13
0.7656630277633667	1.7599715630180202e-13	1.3371701207236242e-13
0.7682110071182251	5.1732906559921396e-14	1.0632068684658658e-13
0.7707769870758057	0.0	1.2707705981246376e-13
0.773360013961792	2.574629420250274e-13	5.931504067210533e-14
0.7759619951248169	1.7770154922200354e-13	8.056757843342977e-14
0.7785810232162476	4.2908718570454363e-13	7.924607828670507e-14
0.7812190055847168	4.4916498363571644e-13	3.199389470259599e-14
0.7838760018348694	4.831640187767661e-13	9.914148630741151e-14
0.7865509986877441	4.64499207326885e-13	1.0503427419266895e-13
0.7892450094223022	6.820979328234222e-13	7.477743061258882e-14
0.7919579744338989	6.151558754573239e-13	6.147570652407022e-14
0.7946900129318237	8.713415189029461e-13	6.255471130239137e-14
0.7974410057067871	1.0153295305209697e-12	6.773277278675563e-14
0.8002110123634338	1.0725929693033986e-12	1.6229074019987605e-13
0.8029999732971191	1.3204080840864552e-12	9.801408545461604e-14
0.8058090209960938	1.2855437200864905e-12	7.146383094666642e-14
0.8086370229721069	1.281603187290592e-12	6.388419388761099e-14
0.8114849925041199	1.4947561417788524e-12	1.2144644556504047e-13
0.8143519759178162	1.4913527227392032e-12	1.144911259982201e-13
0.817238986492157	1.5137252345684415e-12	6.915160040725163e-14
0.8201450109481812	1.6585163147356252e-12	1.8695846737068478e-13
0.8230720162391663	1.8305031969367835e-12	1.3378615706591268e-13
0.8260170221328735	1.8440745892106536e-12	8.764148261286575e-14
0.8289830088615417	1.9235403200812407e-12	8.520481276910394e-14
0.8319680094718933	2.0621145849913924e-12	1.235225707526058e-13
0.8349729776382446	2.0826151133496174e-12	1.1050162792170665e-13
0.8379979729652405	2.2076821707545102e-12	1.4258251968424923e-13
0.8410419821739197	2.239834186179568e-12	1.5351617004520646e-13
0.8441060185432434	2.1957275407602506e-12	8.273729059727133e-14
0.8471900224685669	2.0522340337530975e-12	8.579137292068217e-14
0.8502939939498901	2.0978828483425582e-12	8.656087863634018e-14
0.8534169793128967	2.289062385821272e-12	1.1410187031324348e-13
0.8565589785575867	2.1724774756926024e-12	1.1203212836596865e-13
0.8597210049629211	1.9916362396094067e-12	1.0211313538439556e-13
0.8629019856452942	1.8188887895842498e-12	9.844483897774453e-14
0.8661029934883118	1.4891830173516252e-12	7.911312799530404e-14
0.8693230152130127	1.5189528237632977e-12	5.878962952305528e-14
0.8725619912147522	1.4869760154093137e-12	4.299247183302615e-14
0.8758209943771362	1.5555665479685676e-12	7.4135027272864e-14
0.8790979981422424	1.6880466208873957e-12	8.558610634437636e-14
