#wavelength (micron)	Absolute Flux Density (erg / (cm2 micron s))	Uncertainty (erg / (cm2 micron s))
0.7015860080718994	7.503803893353644e-13	5.3234092887944826e-14
0.7037720084190369	4.457332127092567e-13	3.0401370440177877e-13
0.7059670090675354	6.334879452604691e-13	1.391211635910078e-13
0.7081689834594727	8.403069364469606e-13	8.725917259805663e-14
0.7103800177574158	8.326281829805493e-13	1.4620651965589065e-13
0.7125999927520752	7.080989982734265e-13	1.209033958018968e-13
0.7148290276527405	5.33872750695108e-13	3.1643749578112723e-13
0.7170689702033997	8.425073789661286e-13	4.491204500314816e-13
0.7193189859390259	7.619409660500343e-13	3.4088129454573624e-13
0.7215800285339355	6.31149592224961e-13	2.6625162036046646e-13
0.7238519787788391	7.429548512863371e-13	1.6369990486850977e-13
0.7261369824409485	9.946261479362728e-13	1.1726687329516317e-13
0.7284340262413025	6.731885014710226e-13	1.0991173384844802e-13
0.7307429909706116	7.421425128086023e-13	6.668695137117611e-14
0.7330660223960876	7.665677988211161e-13	4.3324003916713275e-14
0.73540198802948	9.488050536216042e-13	1.0614325038479575e-13
0.7377529740333557	5.329959021881103e-13	7.250547818388187e-14
0.7401170134544373	7.966892119973257e-13	2.004678297277615e-14
0.7424960136413574	4.056767942406392e-13	2.50288098623333e-13
0.7448899745941162	5.23577112655077e-13	1.1333709951176062e-14
0.7472990155220032	7.690204267656042e-13	7.456166760400063e-14
0.7497239708900452	5.002584718000191e-13	6.08112464463989e-14
0.7521640062332153	4.5339434789036515e-13	5.482321140028862e-14
0.7546210289001465	3.66180501719382e-13	8.021655442756043e-14
0.7570940256118774	3.5264624336991957e-13	6.26199192868028e-14
0.7595840096473694	3.767098124326379e-13	2.5644767817005303e-14
0.7620900273323059	1.0726842184687405e-13	6.671627903994184e-14
0.7646139860153198	2.2232112730099195e-14	5.977620606617204e-14
0.7671549916267395	0.0	1.155287752399245e-13
0.7697129845619202	2.5430878106483257e-13	2.854919127709757e-14
0.772288978099823	1.3843785872432596e-13	4.5248910006271195e-14
0.7748839855194092	2.9862440645289645e-13	5.647469864260464e-14
0.7774959802627563	3.6205131774547095e-13	4.050560342867826e-14
0.7801259756088257	3.8417638753389383e-13	9.356501440597673e-14
0.7827749848365784	6.541241615205806e-13	4.511762328757857e-14
0.7854430079460144	5.970992472160985e-13	8.245682104777649e-14
0.7881289720535278	7.646008934499016e-13	3.110794906174483e-14
0.7908340096473694	7.610660691069471e-13	4.201172965285008e-14
0.7935580015182495	1.0138546903057377e-12	5.5122247911987277e-14
0.796301007270813	1.2088775076454783e-12	1.481362030112711e-14
0.7990630269050598	1.1462649406046577e-12	4.6669109820141746e-14
0.8018440008163452	1.2788609147357244e-12	2.537379011871739e-14
0.8046450018882751	1.5392335843411598e-12	3.945287361238094e-14
0.8074650168418884	1.6353372649102749e-12	2.1137149851051772e-14
0.8103049993515015	1.8112976396533753e-12	6.432898782887317e-14
0.8131639957427979	1.8194701387891365e-12	4.40379137778453e-14
0.8160430192947388	1.7156827174236167e-12	7.58259489810724e-14
0.8189409971237183	1.910412366495917e-12	3.828732917190471e-14
0.8218590021133423	2.0847596652467937e-12	1.4280753568075323e-14
0.8247969746589661	2.3343694598859654e-12	6.747789718479502e-14
0.827754020690918	2.333606832077839e-12	5.150029776007821e-14
0.8307309746742249	2.5086092057813314e-12	6.025511171828604e-14
0.833728015422821	2.5324813860555517e-12	5.3405850840857264e-14
0.836745023727417	2.7552276866266157e-12	6.336159488794582e-14
0.8397809863090515	2.8123855241174445e-12	5.013024907294869e-14
0.8428369760513306	2.6944139194101657e-12	2.5087755562759086e-14
0.8459129929542542	2.68823548491004e-12	1.8538019088006584e-14
0.8490080237388611	2.6845014926279998e-12	5.267405164387923e-14
0.8521230220794678	2.693377638973704e-12	3.73312763080752e-14
0.855256974697113	2.8116033806702134e-12	4.791089739026623e-14
0.8584110140800476	2.51095541928259e-12	3.387815337508107e-14
