| JD - 2457565 (hr) |       Flux |     Flux Err | Airmass |
|        -4.5079613 |  1.0051473 | 0.0108730968 |   1.416 |
|        -4.4866787 |   1.003373 | 0.0108363624 |   1.408 |
|        -4.4653956 |  1.0048188 |  0.010799662 |   1.401 |
|        -4.4441073 |  1.0138424 | 0.0109368172 |   1.394 |
|        -4.4228128 |  1.0081568 | 0.0108697508 |   1.387 |
|        -4.4015156 |  1.0054357 | 0.0106882076 |    1.38 |
|        -4.3802279 |  1.0045949 | 0.0106140388 |   1.373 |
|        -4.3589434 |  1.0050326 | 0.0107432448 |   1.366 |
|        -4.3376587 |  1.0100393 |  0.010927332 |    1.36 |
|        -4.3163706 |  1.0047609 |  0.010895408 |   1.353 |
|        -4.2950823 | 0.99967525 | 0.0110571428 |   1.347 |
|        -4.2737971 |  1.0018651 | 0.0112777684 |   1.341 |
|         -4.252515 |  1.0082117 | 0.0111756556 |   1.334 |
|        -4.2312308 |  1.0050939 | 0.0106301092 |   1.328 |
|        -4.2099406 |  1.0062149 | 0.0107101796 |   1.322 |
|        -4.1886509 |  1.0178095 | 0.0106849532 |   1.316 |
|        -4.1673621 |  1.0075985 | 0.0104908812 |    1.31 |
|        -4.1460789 |  1.0054288 | 0.0102819528 |   1.305 |
|        -4.1247933 |  1.0074615 | 0.0102985932 |   1.299 |
|        -4.1035074 |  1.0020844 | 0.0102514848 |   1.293 |
|        -4.0822223 |  1.0024865 | 0.0103045676 |   1.288 |
|        -4.0609334 |  1.0055538 | 0.0102124148 |   1.282 |
|        -4.0396478 |  1.0028524 | 0.0102885292 |   1.277 |
|          -4.01836 |  1.0053872 | 0.0102707328 |   1.272 |
|        -3.9970688 |  1.0042363 | 0.0102472248 |   1.266 |
|        -3.9757763 |  1.0047696 |  0.010335988 |   1.261 |
|        -3.9544877 |  0.9972942 | 0.0102440516 |   1.256 |
|        -3.9332025 |  1.0013075 |  0.010223908 |   1.251 |
|        -3.9119164 |  1.0047963 | 0.0101518944 |   1.246 |
